date,year,semester,quarter,month,month_name,month_start,month_end,day,day_of_week,day_name,week_of_year,week_of_month
2017-03-12,2017,1,1,3,March,2017-03-01,2017-03-31,12,7,Sunday,10,2
2017-03-13,2017,1,1,3,March,2017-03-01,2017-03-31,13,1,Monday,11,2
2017-03-14,2017,1,1,3,March,2017-03-01,2017-03-31,14,2,Tuesday,11,3
2017-03-15,2017,1,1,3,March,2017-03-01,2017-03-31,15,3,Wednesday,11,3
2017-03-16,2017,1,1,3,March,2017-03-01,2017-03-31,16,4,Thursday,11,3
2017-03-17,2017,1,1,3,March,2017-03-01,2017-03-31,17,5,Friday,11,3
2017-03-18,2017,1,1,3,March,2017-03-01,2017-03-31,18,6,Saturday,11,3
2017-03-19,2017,1,1,3,March,2017-03-01,2017-03-31,19,7,Sunday,11,3
2017-03-20,2017,1,1,3,March,2017-03-01,2017-03-31,20,1,Monday,12,3
2017-03-21,2017,1,1,3,March,2017-03-01,2017-03-31,21,2,Tuesday,12,4
2017-03-22,2017,1,1,3,March,2017-03-01,2017-03-31,22,3,Wednesday,12,4
2017-03-23,2017,1,1,3,March,2017-03-01,2017-03-31,23,4,Thursday,12,4
2017-03-24,2017,1,1,3,March,2017-03-01,2017-03-31,24,5,Friday,12,4
2017-03-25,2017,1,1,3,March,2017-03-01,2017-03-31,25,6,Saturday,12,4
2017-03-26,2017,1,1,3,March,2017-03-01,2017-03-31,26,7,Sunday,12,4
2017-03-27,2017,1,1,3,March,2017-03-01,2017-03-31,27,1,Monday,13,4
2017-03-28,2017,1,1,3,March,2017-03-01,2017-03-31,28,2,Tuesday,13,5
2017-03-29,2017,1,1,3,March,2017-03-01,2017-03-31,29,3,Wednesday,13,5
2017-03-30,2017,1,1,3,March,2017-03-01,2017-03-31,30,4,Thursday,13,5
2017-03-31,2017,1,1,3,March,2017-03-01,2017-03-31,31,5,Friday,13,5
2017-04-01,2017,1,2,4,April,2017-04-01,2017-04-30,1,6,Saturday,13,1
2017-04-02,2017,1,2,4,April,2017-04-01,2017-04-30,2,7,Sunday,13,1
2017-04-03,2017,1,2,4,April,2017-04-01,2017-04-30,3,1,Monday,14,1
2017-04-04,2017,1,2,4,April,2017-04-01,2017-04-30,4,2,Tuesday,14,1
2017-04-05,2017,1,2,4,April,2017-04-01,2017-04-30,5,3,Wednesday,14,1
2017-04-06,2017,1,2,4,April,2017-04-01,2017-04-30,6,4,Thursday,14,1
2017-04-07,2017,1,2,4,April,2017-04-01,2017-04-30,7,5,Friday,14,2
2017-04-08,2017,1,2,4,April,2017-04-01,2017-04-30,8,6,Saturday,14,2
2017-04-09,2017,1,2,4,April,2017-04-01,2017-04-30,9,7,Sunday,14,2
2017-04-10,2017,1,2,4,April,2017-04-01,2017-04-30,10,1,Monday,15,2
2017-04-11,2017,1,2,4,April,2017-04-01,2017-04-30,11,2,Tuesday,15,2
2017-04-12,2017,1,2,4,April,2017-04-01,2017-04-30,12,3,Wednesday,15,2
2017-04-13,2017,1,2,4,April,2017-04-01,2017-04-30,13,4,Thursday,15,2
2017-04-14,2017,1,2,4,April,2017-04-01,2017-04-30,14,5,Friday,15,3
2017-04-15,2017,1,2,4,April,2017-04-01,2017-04-30,15,6,Saturday,15,3
2017-04-16,2017,1,2,4,April,2017-04-01,2017-04-30,16,7,Sunday,15,3
2017-04-17,2017,1,2,4,April,2017-04-01,2017-04-30,17,1,Monday,16,3
2017-04-18,2017,1,2,4,April,2017-04-01,2017-04-30,18,2,Tuesday,16,3
2017-04-19,2017,1,2,4,April,2017-04-01,2017-04-30,19,3,Wednesday,16,3
2017-04-20,2017,1,2,4,April,2017-04-01,2017-04-30,20,4,Thursday,16,3
2017-04-21,2017,1,2,4,April,2017-04-01,2017-04-30,21,5,Friday,16,4
2017-04-22,2017,1,2,4,April,2017-04-01,2017-04-30,22,6,Saturday,16,4
2017-04-23,2017,1,2,4,April,2017-04-01,2017-04-30,23,7,Sunday,16,4
2017-04-24,2017,1,2,4,April,2017-04-01,2017-04-30,24,1,Monday,17,4
2017-04-25,2017,1,2,4,April,2017-04-01,2017-04-30,25,2,Tuesday,17,4
2017-04-26,2017,1,2,4,April,2017-04-01,2017-04-30,26,3,Wednesday,17,4
2017-04-27,2017,1,2,4,April,2017-04-01,2017-04-30,27,4,Thursday,17,4
2017-04-28,2017,1,2,4,April,2017-04-01,2017-04-30,28,5,Friday,17,5
2017-04-29,2017,1,2,4,April,2017-04-01,2017-04-30,29,6,Saturday,17,5
2017-04-30,2017,1,2,4,April,2017-04-01,2017-04-30,30,7,Sunday,17,5
2017-05-01,2017,1,2,5,May,2017-05-01,2017-05-31,1,1,Monday,18,1
2017-05-02,2017,1,2,5,May,2017-05-01,2017-05-31,2,2,Tuesday,18,1
2017-05-03,2017,1,2,5,May,2017-05-01,2017-05-31,3,3,Wednesday,18,1
2017-05-04,2017,1,2,5,May,2017-05-01,2017-05-31,4,4,Thursday,18,1
2017-05-05,2017,1,2,5,May,2017-05-01,2017-05-31,5,5,Friday,18,1
2017-05-06,2017,1,2,5,May,2017-05-01,2017-05-31,6,6,Saturday,18,1
2017-05-07,2017,1,2,5,May,2017-05-01,2017-05-31,7,7,Sunday,18,2
2017-05-08,2017,1,2,5,May,2017-05-01,2017-05-31,8,1,Monday,19,2
2017-05-09,2017,1,2,5,May,2017-05-01,2017-05-31,9,2,Tuesday,19,2
2017-05-10,2017,1,2,5,May,2017-05-01,2017-05-31,10,3,Wednesday,19,2
2017-05-11,2017,1,2,5,May,2017-05-01,2017-05-31,11,4,Thursday,19,2
2017-05-12,2017,1,2,5,May,2017-05-01,2017-05-31,12,5,Friday,19,2
2017-05-13,2017,1,2,5,May,2017-05-01,2017-05-31,13,6,Saturday,19,2
2017-05-14,2017,1,2,5,May,2017-05-01,2017-05-31,14,7,Sunday,19,3
2017-05-15,2017,1,2,5,May,2017-05-01,2017-05-31,15,1,Monday,20,3
2017-05-16,2017,1,2,5,May,2017-05-01,2017-05-31,16,2,Tuesday,20,3
2017-05-17,2017,1,2,5,May,2017-05-01,2017-05-31,17,3,Wednesday,20,3
2017-05-18,2017,1,2,5,May,2017-05-01,2017-05-31,18,4,Thursday,20,3
2017-05-19,2017,1,2,5,May,2017-05-01,2017-05-31,19,5,Friday,20,3
2017-05-20,2017,1,2,5,May,2017-05-01,2017-05-31,20,6,Saturday,20,3
2017-05-21,2017,1,2,5,May,2017-05-01,2017-05-31,21,7,Sunday,20,4
2017-05-22,2017,1,2,5,May,2017-05-01,2017-05-31,22,1,Monday,21,4
2017-05-23,2017,1,2,5,May,2017-05-01,2017-05-31,23,2,Tuesday,21,4
2017-05-24,2017,1,2,5,May,2017-05-01,2017-05-31,24,3,Wednesday,21,4
2017-05-25,2017,1,2,5,May,2017-05-01,2017-05-31,25,4,Thursday,21,4
2017-05-26,2017,1,2,5,May,2017-05-01,2017-05-31,26,5,Friday,21,4
2017-05-27,2017,1,2,5,May,2017-05-01,2017-05-31,27,6,Saturday,21,4
2017-05-28,2017,1,2,5,May,2017-05-01,2017-05-31,28,7,Sunday,21,5
2017-05-29,2017,1,2,5,May,2017-05-01,2017-05-31,29,1,Monday,22,5
2017-05-30,2017,1,2,5,May,2017-05-01,2017-05-31,30,2,Tuesday,22,5
2017-05-31,2017,1,2,5,May,2017-05-01,2017-05-31,31,3,Wednesday,22,5
2017-06-01,2017,1,2,6,June,2017-06-01,2017-06-30,1,4,Thursday,22,1
2017-06-02,2017,1,2,6,June,2017-06-01,2017-06-30,2,5,Friday,22,1
2017-06-03,2017,1,2,6,June,2017-06-01,2017-06-30,3,6,Saturday,22,1
2017-06-04,2017,1,2,6,June,2017-06-01,2017-06-30,4,7,Sunday,22,1
2017-06-05,2017,1,2,6,June,2017-06-01,2017-06-30,5,1,Monday,23,1
2017-06-06,2017,1,2,6,June,2017-06-01,2017-06-30,6,2,Tuesday,23,1
2017-06-07,2017,1,2,6,June,2017-06-01,2017-06-30,7,3,Wednesday,23,2
2017-06-08,2017,1,2,6,June,2017-06-01,2017-06-30,8,4,Thursday,23,2
2017-06-09,2017,1,2,6,June,2017-06-01,2017-06-30,9,5,Friday,23,2
2017-06-10,2017,1,2,6,June,2017-06-01,2017-06-30,10,6,Saturday,23,2
2017-06-11,2017,1,2,6,June,2017-06-01,2017-06-30,11,7,Sunday,23,2
2017-06-12,2017,1,2,6,June,2017-06-01,2017-06-30,12,1,Monday,24,2
2017-06-13,2017,1,2,6,June,2017-06-01,2017-06-30,13,2,Tuesday,24,2
2017-06-14,2017,1,2,6,June,2017-06-01,2017-06-30,14,3,Wednesday,24,3
2017-06-15,2017,1,2,6,June,2017-06-01,2017-06-30,15,4,Thursday,24,3
2017-06-16,2017,1,2,6,June,2017-06-01,2017-06-30,16,5,Friday,24,3
2017-06-17,2017,1,2,6,June,2017-06-01,2017-06-30,17,6,Saturday,24,3
2017-06-18,2017,1,2,6,June,2017-06-01,2017-06-30,18,7,Sunday,24,3
2017-06-19,2017,1,2,6,June,2017-06-01,2017-06-30,19,1,Monday,25,3
2017-06-20,2017,1,2,6,June,2017-06-01,2017-06-30,20,2,Tuesday,25,3
2017-06-21,2017,1,2,6,June,2017-06-01,2017-06-30,21,3,Wednesday,25,4
2017-06-22,2017,1,2,6,June,2017-06-01,2017-06-30,22,4,Thursday,25,4
2017-06-23,2017,1,2,6,June,2017-06-01,2017-06-30,23,5,Friday,25,4
